STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	21978	128.87202845835	764.803161984608	1	0	1	1	2.19046776957375
2	19151	862.90848747099	3429.67426713472	1	0	1	2	8.55940063706131
3	6831	3561.86018575145	9001.89037854825	1	0	1	3	8.01340382178252
4	748	11534.8826071141	27366.2504958438	1	0	1	4	2.66757058171373
1	21769	812.687893851037	3348.47469893984	1	0	2	1	2
2	6952	4800.1686514161	18275.2623969752	1	0	2	2	2.01766593085047
3	4554	26596.3229808516	115683.875278036	1	0	2	3	8.36645984364783
4	18656	1739.55040181858	9820.92976450455	1	0	2	4	2.90969196190622
1	18172	453.873096444831	2838.05034810237	1	0	3	1	4.08933028358241
2	16390	1318.42933077581	5415.28851618485	1	0	3	2	7.03768652344689
3	8635	6342.75124995582	13758.6692394784	1	0	3	3	9.42037382330792
4	7810	11668.6633562924	25638.1280080745	1	0	3	4	15.8769365899525
5	24453	3010.46132043069	6701.49465781715	1	0	3	5	12.9937105582326
1	19173	178.340439217659	591.580557896501	1	0	4	1	2
2	8228	3857.25781397066	7253.96908281537	1	0	4	2	9.70241824348124
1	16940	577.60089994162	1392.42785135361	1	0	5	1	2.39763815988674
2	6809	5986.40586009241	9282.50173166695	1	0	5	2	6.42459725322705
3	6842	1791.83394850284	3965.1049574598	1	0	5	3	2.75762553668472
4	5324	5493.15131459219	16316.3333109715	1	0	5	4	8.82994807983036
