STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	4257	2.10383452302001	1.76167500940244	1	0	1	1	2
2	4081	5.08835432983481	3.4797008588788	1	0	1	2	3.7056003936944
3	5544	7.92531727244266	5.31222885732601	1	0	1	3	7.68510980405888
4	15455	2.57494901011205	2.75036071615154	1	0	1	4	11.0919714846289
5	19371	1.91188818033226	1.60005531658499	1	0	1	5	8.08792503173021
1	15719	2.86332895643996	2.91084560018885	1	0	2	1	2
2	16896	3.32796205446722	5.53949361313681	1	0	2	2	4.06155597224519
3	10131	7.49796470459709	14.1002442756506	1	0	2	3	6.19893992673981
4	4169	15.3144737339237	27.0058460008861	1	0	2	4	4.8857153168894
5	5016	18.5451001585727	43.8857435571229	1	0	2	5	9.55255319090691
1	4070	852.915860910108	1467.03446613164	1	0	3	1	8.60321174824217
2	8129	194.016881206666	336.682025181599	1	0	3	2	3.94350994319149
3	3883	501.603714511858	1284.18732890512	1	0	3	3	7.18491536575943
4	29139	129.089302566188	264.460353104209	1	0	3	4	11.1035308288542
5	30239	65.9742828913019	158.465702457178	1	0	3	5	6.90444208308418
1	7095	354.538232065074	544.496929078195	1	0	4	1	2.15118628414493
2	2805	683.016308546103	1357.60616677869	1	0	4	2	2.12049304971514
3	2035	1966.82729292905	3773.53588183352	1	0	4	3	4.27605303673866
4	15466	114.938175969029	370.513607008413	1	0	4	4	3.19089382439078
1	9053	388.20061995767	676.751123664212	1	0	5	1	2.60353501504226
2	3487	1724.7652331501	3973.88338975627	1	0	5	2	5.88855835627254
3	23375	80.3429751430255	193.693748756635	1	0	5	3	2
