STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	15983	1674.82834034841	1428.53187774073	1	0	1	1	6.94142593839194
2	11924	2952.27461818565	3410.01107564338	1	0	1	2	12.361700454289
3	14630	5643.48206815077	6172.42308023495	1	0	1	3	27.4536739404865
4	1155	7502.09515300139	19484.8992629122	1	0	1	4	6.84196121208788
5	5016	4482.40936300458	6862.94926470364	1	0	1	5	10.4657118893902
1	847	7161.61821486663	10260.0631227301	1	0	2	1	2.34881060810693
2	14520	2790.62737762295	4123.1292988046	1	0	2	2	16.1811031816117
3	24112	6431.46259333028	5946.80533647594	1	0	2	3	38.7553366811968
4	7271	9092.84153404975	12484.1669517682	1	0	2	4	24.5339948171321
5	5181	3826.56848534257	6717.00545480502	1	0	2	5	9.40597564598005
1	21131	3015.55429297171	4907.95976944008	1	0	3	1	19.4446667926676
2	6677	7270.36405604715	10290.8954373426	1	0	3	2	12.8829108935645
3	17677	12828.3959497208	14498.4148430938	1	0	3	3	48.0516765673067
4	12881	6297.62309785465	8474.31256594067	1	0	3	4	20.4660259237218
5	17094	3656.3333472826	3784.98423779015	1	0	3	5	12.130738368169
1	11572	3176.48230247324	2408.68797203754	1	0	4	1	19.4810808120467
2	858	6494.21540217724	6491.45693766125	1	0	4	2	3.89272341387706
3	9086	1858.11245703877	1621.25711533549	1	0	4	3	10.2955299560128
4	2981	3837.58018501021	3854.66933301651	1	0	4	4	8.03106579108313
5	2904	2117.6424382491	1180.21004895526	1	0	4	5	2.3954107771001
1	6787	1932.94952064319	1977.56058499214	1	0	5	1	7.44437717579384
2	8052	4023.52965303863	3215.35707587036	1	0	5	2	14.3599754748496
3	2629	2081.393194215	1660.16127086918	1	0	5	3	2.42081491538042
4	1309	7431.25538493602	6698.48750007398	1	0	5	4	4.86336785615361
5	17138	2913.77114222498	3899.43861481996	1	0	5	5	37.0666168418511
