STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	3982	85.4182364268179	167.721839432973	1	0	1	1	4.07861481415383
2	7953	26.9860951724682	45.7124216264475	1	0	1	2	2.2201740955527
3	1628	61.1679741553192	242.482443202815	1	0	1	3	2.41077411493364
4	7689	185.536967218636	601.430176414171	1	0	1	4	28.2407935249168
5	27456	49.5055387598713	178.884872990377	1	0	1	5	29.9938836888627
1	11869	49.2854845006794	128.468103117834	1	0	2	1	2
2	7810	141.556059439747	571.21066620468	1	0	2	2	5.85048076489612
3	3872	830.623629194445	3117.31086239429	1	0	2	3	15.8292258284579
4	19030	45.5579440566132	192.114260679512	1	0	2	4	4.79449208090416
5	9350	204.28507099259	1109.34555543394	1	0	2	5	13.6026233279373
1	1133	606.41914864874	2195.41456596708	1	0	3	1	3.64529458138891
2	39776	37.8541850628375	107.779007911911	1	0	3	2	6.28262976445366
3	22660	458.740926523045	1674.38500232232	1	0	3	3	55.6034078549545
4	11891	66.9184060250272	262.467214828196	1	0	3	4	4.5738258083987
1	7887	15.5835950139732	33.0916401695735	1	0	4	1	2
2	10318	52.2633504404885	99.1892073402566	1	0	4	2	5.37025943094374
3	3564	60.1733415720013	228.917147897545	1	0	4	3	4.28106029940757
4	2706	288.663312554869	661.195563787517	1	0	4	4	9.38843160109707
5	2926	265.14141920191	341.814084704349	1	0	4	5	5.24806975965024
1	2112	78.1506366305054	117.118666378176	1	0	5	1	2
2	1221	490.590781451555	639.586922522606	1	0	5	2	5.75689576363744
3	10725	48.8353508980832	81.4068691278474	1	0	5	3	6.4362288837966
4	21857	26.8975026718089	49.2619912480459	1	0	5	4	7.93735202427871
