STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	2871	25.0586359233062	26.2567255598333	1	0	1	1	2.46379584720549
2	13915	13.8822004080611	15.247598055921	1	0	1	2	6.93450725929165
3	6094	23.1056161040861	23.772765661703	1	0	1	3	4.7349251796292
4	19250	38.381078813368	40.3766067827684	1	0	1	4	25.4033805278279
5	6578	23.2860786114783	30.0827354356884	1	0	1	5	6.46758514634111
1	1628	22.259797171268	26.5565565354024	1	0	2	1	3.91594995886621
2	18788	9.60000524649436	10.6704972897568	1	0	2	2	18.1583416364662
3	18491	5.50081828096541	6.38808903415001	1	0	2	3	10.6989788879665
4	7909	8.11922119654153	9.93027910288408	1	0	2	4	7.11367470836545
5	5115	13.186618257675	16.9587846358491	1	0	2	5	7.85690196935181
1	11088	16.2821404684958	23.2451943619285	1	0	3	1	8.44417179543683
2	23067	29.5405795787705	39.0966177446338	1	0	3	2	29.5461545381894
3	9218	18.9591778770954	21.7742749339936	1	0	3	3	6.57583742142292
4	7315	9.43265286179184	11.2319518104541	1	0	3	4	2.69178409848567
5	24772	3.35174486894427	3.50053376685233	1	0	3	5	2.84096578868223
1	7326	2.51034293933431	2.3067852355336	1	0	4	1	8.2069159827694
2	6930	2.99080736744895	2.86526089976225	1	0	4	2	9.64280352422751
3	9119	2.14251038057889	2.07643280796336	1	0	4	3	9.19540809044693
4	4026	1.66944174397197	1.80130590254684	1	0	4	4	3.52181997777833
1	924	3.74599595454758	4.01764214120461	1	0	5	1	2.30337927310829
2	14872	1.49183384824793	1.47547248958042	1	0	5	2	13.6151592603884
3	4873	2.40774906842057	2.27998638864931	1	0	5	3	6.89367648229961
4	15246	1.08525351452638	1.06993730134668	1	0	5	4	10.1213041698514
