STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	11132	13.8184056695391	5.04816198915424	1	0	1	1	2.0225864100538
2	14421	7.82924283635713	3.99049893436177	1	0	1	2	2.07120545280048
3	11979	33.9062310662977	23.3470077346898	1	0	1	3	10.0658950237003
4	7480	22.2047952475827	12.7310165349917	1	0	1	4	3.4274038862444
5	3696	49.7315186364577	30.4504976993556	1	0	1	5	4.05067092488808
1	18117	101.522790060721	52.3538264164042	1	0	2	1	11.1250280669227
2	13618	115.185799083256	80.0630671068253	1	0	2	2	12.7882746651063
3	17765	190.050772345078	85.34897487648	1	0	2	3	17.7840193930891
4	2431	46.4247907875315	71.8150470892347	1	0	2	4	2.04770226510845
1	13706	107.968128578273	136.909464215335	1	0	3	1	11.3803228861094
2	6831	90.2330023346248	57.143675020573	1	0	3	2	2.36735200393225
3	18161	175.036287095553	120.663238711832	1	0	3	3	13.2900043235291
4	32945	277.941441695794	175.295499449245	1	0	3	4	35.0243967465257
5	3817	61.1105438899559	66.9970680221138	1	0	3	5	2
1	1012	358.176265647431	158.629152075858	1	0	4	1	2
2	2145	218.828382408074	87.3059507619918	1	0	4	2	2
3	13354	121.320109396068	51.1051471168578	1	0	4	3	7.23487206572003
4	6534	170.936976697973	74.0495137535054	1	0	4	4	5.12927734436269
5	4356	129.694179990388	43.4774883446636	1	0	4	5	2.00773855809593
1	8921	94.7487388842485	32.8659932473449	1	0	5	1	4.61759913462481
2	7458	157.037190132971	49.5876224273712	1	0	5	2	5.82440534455242
3	16181	60.1699535649239	27.8694994379773	1	0	5	3	7.10216002111121
4	3355	87.9559226738213	35.0944923087875	1	0	5	4	2
