STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	13563	189.770375145821	436.988017607955	1	0	1	1	3.52193480906515
2	4070	690.258130272553	2413.86547308021	1	0	1	2	5.8379919876452
3	2728	1690.57924137534	8851.25009568357	1	0	1	3	14.348450395294
4	28347	507.585952922858	2307.58721807667	1	0	1	4	38.8706005905707
1	1672	2700.97340407835	6130.09215274072	1	0	2	1	5.66672236693247
2	15994	558.089248916265	1489.30775695937	1	0	2	2	13.169527768311
3	3938	1934.87100941463	7360.38498148953	1	0	2	3	16.0252532495114
4	30327	131.307337210833	774.869678777277	1	0	2	4	12.9923220556891
1	6380	60.4598120477372	292.845013285831	1	0	3	1	4.02332534313534
2	11660	280.39956497831	1689.72520740744	1	0	3	2	42.4268974698405
3	21538	31.7697625770409	107.704183715998	1	0	3	3	4.99533464212929
4	35882	131.301334007413	499.161706598376	1	0	3	4	38.5695475108371
1	10274	6.41748823247816	9.48942351528502	1	0	4	1	11.4845956313732
2	2926	16.5292652496345	24.8471790149211	1	0	4	2	8.56421828436588
3	4554	9.34431933587015	12.3750940774337	1	0	4	3	6.63862065425765
4	2178	14.8669781345723	34.1163440450162	1	0	4	4	8.75299495444948
5	7469	5.79627805857511	11.3511921141211	1	0	4	5	9.98711959942157
1	4114	4.99428104338656	3.34782666183255	1	0	5	1	7.72933912698698
2	4675	3.37872431875314	2.7588656615777	1	0	5	2	7.23814502325472
3	2277	1.67845065290838	1.80183265190376	1	0	5	3	2.3024626545304
4	8624	0.980578852121984	0.915153324750674	1	0	5	4	4.42912279581649
5	16225	0.423495543956078	0.539372440654287	1	0	5	5	4.91121072994096
