STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	957	218.336799951696	286.010828414607	1	0	1	1	2
2	4400	724.316749294752	757.62208948581	1	0	1	2	21.6556449385491
3	12584	335.447135515293	435.404324324656	1	0	1	3	35.5940384101371
4	24211	155.867100044901	285.604679144833	1	0	1	4	44.9204256845499
5	6556	43.2032318558075	93.2348635016695	1	0	1	5	3.97084652175131
1	748	474.043979944475	356.739559697609	1	0	2	1	4.54279126816666
2	4609	143.823947671177	263.759391176391	1	0	2	2	20.6959112017286
3	16181	54.130863943847	105.068904662115	1	0	2	3	28.9433952386472
4	1892	127.712021413852	209.211821408662	1	0	2	4	6.73871772924073
5	28501	11.2692805257177	46.3007168582467	1	0	2	5	22.4655846761072
1	3553	164.545570936098	229.665563787134	1	0	3	1	7.09791472563589
2	924	649.479378407617	882.073650261764	1	0	3	2	7.08951471563332
3	19404	166.382947800586	311.612923429744	1	0	3	3	52.5952368230774
4	13684	40.1778734675669	106.752140137028	1	0	3	4	12.7065995760991
5	37895	2.03063692564658	7.6517902735851	1	0	3	5	2.52222982994916
1	8118	0.105234589460179	0.0446116895404366	1	0	4	1	12.0613525534808
2	3597	0.136026331188248	0.0548771355137861	1	0	4	2	6.57400705192708
3	2937	0.0647809730808948	0.034313852555687	1	0	4	3	3.35638461115155
4	4862	0.0387492846135973	0.0253044637518228	1	0	4	4	4.09741909127312
5	7887	0.0127511053790523	0.0161206982503166	1	0	4	5	4.23442050044226
1	13640	0.125887928952924	0.106700470790264	1	0	5	1	2
2	2398	0.596466059325488	0.914550444086153	1	0	5	2	2
3	792	7.48014210189244	5.56815962346005	1	0	5	3	2.68384973333162
4	1804	1.73871463704189	2.00016977489459	1	0	5	4	2.19596154923224
5	17281	0.0780016511315506	0.166222345232444	1	0	5	5	2
