STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	12034	11.7543443709325	68.1046313898315	1	0	1	1	2
2	616	1288.28986499417	4724.42396064813	1	0	1	2	2.50927873638713
3	31548	23.0903768251175	214.698690393221	1	0	1	3	5.84010369435475
4	2222	960.615426598182	1663.50544476633	1	0	1	4	3.18704071795951
5	2288	2528.10143280874	2528.21540252699	1	0	1	5	4.98757482055919
1	30261	5.09680558928839	56.9541750923425	1	0	2	1	2.73313079606194
2	17688	107.0526297588	390.257686859013	1	0	2	2	10.9466635410862
3	3982	1519.23956617927	1607.66600537458	1	0	2	3	10.1519310240649
1	58421	15.0371218736537	101.01775838048	1	0	3	1	8.29582145833714
2	7205	229.809913114627	429.29983758626	1	0	3	2	4.34797854357849
3	5445	967.599516974692	879.599927602048	1	0	3	3	6.73249054192693
4	4389	1879.43381580102	1297.95642963567	1	0	3	4	8.0078951454835
1	1397	179.951780058603	1138.51170925369	1	0	4	1	2.64616875378617
2	6897	35.8878109763204	213.20418773531	1	0	4	2	2.44646826213707
3	12980	225.226171361927	637.10052732711	1	0	4	3	13.7583478762117
4	6127	1407.40505708979	1372.86967748197	1	0	4	4	13.9946107208706
1	12034	29.2572607800717	97.3546864107954	1	0	5	1	2.24229255087712
2	17842	169.55173658124	409.626214958951	1	0	5	2	13.9880340994225
3	6039	1252.09427530109	1186.76138487025	1	0	5	3	13.7168326805086
