STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	4235	1851.68868283142	1346.48219922097	1	0	1	1	6.7976414819863
2	3564	819.36557581897	995.958677679119	1	0	1	2	4.23139179699451
3	3641	3197.53609340966	2147.83312266378	1	0	1	3	9.32235074797271
4	17446	1030.33807577646	933.303874880287	1	0	1	4	19.4098939071821
5	19822	229.178474275842	456.256490418926	1	0	1	5	10.781042344626
1	3894	777.191310980748	649.841069257678	1	0	2	1	5.4096473813857
2	4939	1193.2763825627	1390.75909114454	1	0	2	2	14.6844197085784
3	8800	720.629809687569	717.09031244196	1	0	2	3	13.490324078085
4	7458	259.066431616033	432.662221335569	1	0	2	4	6.89822268556348
5	26840	36.12984473595	255.570863963659	1	0	2	5	14.6642449994018
1	12870	738.069678854281	1189.51459908818	1	0	3	1	22.0236880499515
2	8877	1789.99505470563	1702.73069043744	1	0	3	2	21.7447243826137
3	25014	252.518129448525	737.523699241764	1	0	3	3	26.5399957683439
4	28699	36.5708331243191	100.439151713924	1	0	3	4	4.14678504713187
1	374	359.888247913148	513.674907894328	1	0	4	1	2
2	3608	103.556215594779	108.421020159651	1	0	4	2	3.63364510778351
3	23419	5.81014106044812	13.8831839516435	1	0	4	3	3.02009020413521
1	9746	39.4330827704667	64.0231740106167	1	0	5	1	2.38565817086942
2	2486	570.216415847827	831.548430130399	1	0	5	2	7.90375155440933
3	7128	141.462629701339	364.057770586317	1	0	5	3	9.92162033671145
4	16555	5.96676377158019	38.2225121277793	1	0	5	4	2.41931835375035
