STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	8767	1378.7169536233	2680.01335042562	1	0	1	1	9.7867982692778
2	9130	3376.60688246136	7538.38912756662	1	0	1	2	28.6683040433182
3	17600	1407.23610126088	2647.07359116641	1	0	1	3	19.4057912609941
4	2882	3190.86680825056	8372.7362251056	1	0	1	4	10.0511107498659
5	10329	986.79140842649	2124.89280056295	1	0	1	5	9.14214225910319
1	1518	1720.92159395469	3420.90173645673	1	0	2	1	2.7104338128558
2	21868	608.506997264068	1614.08299201155	1	0	2	2	18.4230428394498
3	13706	1586.13730253176	6027.49291974323	1	0	2	3	43.1195154491853
4	8778	762.788696901646	1748.17010980337	1	0	2	4	8.00950547148194
5	6061	1698.9951408787	3395.06506150157	1	0	2	5	10.7403595632913
1	15840	1443.15178521126	3127.63717639513	1	0	3	1	22.5185621925983
2	4400	4284.8512572243	9769.02637111958	1	0	3	2	19.5376835870673
3	17754	1340.74750479907	4480.49938681073	1	0	3	3	36.1569468833637
4	22363	591.123072360799	1329.78537456747	1	0	3	4	13.5170129349973
5	15103	294.097564139106	583.562418875532	1	0	3	5	4.00608031262008
1	1881	235.07838057815	354.235867534761	1	0	4	1	2.79017296045185
2	2068	322.299542770898	527.584623505992	1	0	4	2	4.56869810466946
3	2651	517.724552341831	1056.14620674226	1	0	4	3	11.7242094552129
4	20801	286.561006689686	267.011575532584	1	0	4	4	23.2575573572961
1	17435	321.848518439253	384.690134247891	1	0	5	1	7.46357996795924
2	5742	669.894262189077	786.828143676192	1	0	5	2	5.02756001883338
3	3168	1033.70290681526	1189.6772878875	1	0	5	3	4.19400103793574
4	4191	1799.93709655697	3250.53043969954	1	0	5	4	15.1595422700893
5	5379	782.784185107107	946.487007784619	1	0	5	5	5.66539756160022
