STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	3289	4.15020685030194	3.52024843381299	1	0	1	1	2.22408507972419
2	9713	1.93512075948262	2.62804288796715	1	0	1	2	4.90343075077582
3	7216	8.99804231295438	18.9097013303492	1	0	1	3	26.211712945268
4	7634	2.88411330363065	7.96274158353479	1	0	1	4	11.6769383297137
5	20856	2.6816847487481	5.42973909927249	1	0	1	5	21.7532519264119
1	3135	15.5444164053934	31.7676912085845	1	0	2	1	13.5503787408956
2	7722	6.63145802755019	9.66860504094068	1	0	2	2	10.1583191570397
3	41074	1.3483851005245	3.16699214056072	1	0	2	3	17.6987347581341
1	44264	3.35326307437576	7.47529048149453	1	0	3	1	10.3941014458834
2	13343	13.7885106363197	18.343648016187	1	0	3	2	7.6886026134702
3	4356	49.187694381114	63.8748740182352	1	0	3	3	8.74029614830424
4	2475	79.9916140468287	145.898436813762	1	0	3	4	11.3431601176102
5	11022	6.80167814593888	21.035513155438	1	0	3	5	7.28319164991907
1	7359	2.83519374435577	5.01358245553687	1	0	4	1	4.33756087409969
2	2046	16.3470712514949	33.2841702308075	1	0	4	2	8.00611790950146
3	3784	3.95927534038479	6.45757043752635	1	0	4	3	2.87275704078407
4	14212	1.71707131689518	2.26831155609202	1	0	4	4	3.78997654362425
1	5170	5.40009856900599	6.78186599325655	1	0	5	1	2
2	6336	30.1147282512001	44.4869740668642	1	0	5	2	15.7614546781949
3	7249	6.53665723696165	8.29800134345084	1	0	5	3	3.36356529457504
4	17160	20.8254594055096	38.3652038494517	1	0	5	4	36.8131563924614
