STRATO	N	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	COST	CENS	DOM1	X1	SOLUZ
1	9988	2126.37845528186	1844.99286321594	2165.56529748495	2042.45402812938	28.3693513754321	1682.54338294955	2011.01494078494	2.78970301823842	1871.56891998545	12.75618319667	7.41332926401777	0.252592569983984	7.08659593329923	53.7079822038467	1.1768303747223	4581.02889202176	2813.97368882856	4383.63008153853	4147.29770034462	73.8199138813789	2864.02111916186	1856.46636445145	8.12941734799459	1053.97715793538	60.3681795064674	115.957418080186	0.242956558319354	15.3550552002401	290.834979008692	18.8980554422463	1	0	1	1	11.2942961519918
2	12463	1697.99224119877	1763.53475728877	2714.26970780432	1197.07317688104	74.6125278408297	756.853010049881	1250.21198249034	3.85662991440924	1680.6098929833	247.134927308173	13.9963611155941	0.289213801323718	60.1590975257628	837.425024631212	41.7493925219727	5048.29583703235	2365.46136616263	4343.93465933614	2628.02990469988	122.601478479439	1245.79726278798	1097.09730487378	9.954270444918	953.312252495057	1081.01759420372	150.509618721391	0.369731380900527	217.640077295385	4096.12974365048	739.78001565446	1	0	1	2	16.4791698643013
3	14938	1991.26292757085	1326.35644875812	4570.99788159933	1215.33382070887	215.196193236269	359.35080936629	526.425237936198	7.85743060071463	1242.57593831335	827.878590770113	9.26366487676142	0.261756307814039	105.197189372016	592.542495731697	28.7536948948342	4672.77660314607	1704.86489357469	6334.00195418512	2640.34247801176	326.396643749082	809.614373288878	597.615685704182	16.1643395857113	789.948736225945	3336.38306465854	88.614623902866	0.316073543105704	358.241944471225	2641.22699469701	638.055303242311	1	0	1	3	18.042350108361
4	8635	1344.66695544388	884.688895199771	5585.85123627312	1081.56365433855	569.618360818881	98.2785812539803	129.008910211632	29.8632861824529	773.650725531674	2222.03483026485	92.9319905102258	0.280545998486455	85.5052409854499	342.240806414973	252.20427546391	3825.68993483738	1735.17803272257	7031.86487488136	2157.40127189215	707.825939378579	327.362892541754	446.240705132662	46.8181322448642	632.674386225493	6891.70258136899	267.750173519334	0.335688280198287	315.362100370169	1902.7906914208	977.427646147853	1	0	1	4	9.99056854415146
5	2684	1234.94942800584	398.576085511179	1382.83550463252	22.7835664165757	410.840832488407	55.0169391591124	103.301742511518	83.3196253096782	324.460323167341	6540.79601301529	474.08798830498	0.265894821799438	115.438891216206	597.515943898674	2400.48197745477	1831.46966988048	1073.93461284194	1391.40002691418	45.8277481195696	340.975751918825	213.816149430041	371.534103882416	124.768945718671	538.912003340238	17190.9083585342	537.995576695773	0.377686387525708	464.346328286852	4188.85581721531	2482.62084677039	1	0	1	5	3.09031710984299
1	9735	1404.2786959144	1417.89072167536	2472.3722634201	976.065381028901	54.7768026343861	600.59777990084	971.67987968576	22.3652655277126	2067.60435351124	409.992418089798	8.17232734692263	1.27974973666567	13.6902081542362	50.2405235357688	0.141167168314912	3450.85747693341	2630.24595544935	5921.16826873619	2502.50026361637	155.278621071444	900.782281105902	1085.68123110575	71.0953517694762	1304.12296185261	2423.21520904152	39.6235998548884	1.3939768256969	121.627588082621	271.104655623458	0.726061225273114	1	0	2	1	10.1764898848532
2	1111	2340.15317811566	1473.50899201456	4203.60063619573	1742.01162404272	142.169312901112	179.328995555557	642.371021212344	52.9456431099536	1898.58177031162	2083.73337726119	30.3553157504037	2.08324612023388	53.2776279303287	476.521284772542	0.317670728283779	8413.62110162354	2868.69438746878	5667.11766723053	4104.12126025794	189.189156965845	230.398897420858	1003.91770902805	71.14480455448	1120.18803252065	10374.5361069466	111.595919345793	2.13841395221974	418.353251369856	1628.69847337853	0.923601054986714	1	0	2	2	2.34325366302557
3	26730	765.914751161892	918.174485649998	6006.13256416644	842.694619881934	487.957282687191	38.7562983125379	283.400432533682	92.3068276267171	1196.6151473631	2154.13748655962	26.7487679089737	3.4666454483798	256.661194986218	881.093981480097	28.2144137456988	3021.52069852996	1485.96928126636	6998.87429519325	1696.87120514629	791.063879925064	126.197618609984	540.216477533707	159.097417991792	961.234839995449	12504.2117249175	70.1911290162897	14.8217318919431	1411.70586276255	3549.62105680085	185.76555916659	1	0	2	3	32.3935538039434
4	12177	1367.37769204865	344.084512492732	7947.54542579008	423.282890630575	566.149502025578	13.519586048238	34.0302650422662	265.574561594389	449.244392262547	6215.28035854191	136.84372522889	1.8871794014658	44.2049452605845	30.5071210401465	181.539539723837	4355.86489643041	435.711919009786	8520.7119937645	549.960843269874	805.414684159273	127.36185562696	308.124283346078	277.80627610888	412.012522582156	48992.4581927802	188.754165239539	1.71102104251808	179.287873395674	211.003519299035	591.317621734842	1	0	2	4	13.7660002409827
5	2178	577.6555804939	81.423746394014	707.437987543504	4.61488319144087	163.50362571639	0.145611039224887	0.322264021722757	408.81283540672	99.4684549641511	29873.7440142647	457.405691340373	3.93163177370564	42.4366573691965	46.9020420485014	2355.77954657235	1506.72234468892	230.421863331462	1083.35446594936	21.0126593874532	191.520799066807	1.73398009755777	4.39030700111334	305.734532637385	160.101491182986	122407.074588767	491.101423993624	2.65194007184918	182.040223430386	345.532497814152	1482.70973668841	1	0	2	5	2.71156609589092
1	20977	1390.25640311866	1200.31071093998	3095.33425271173	1069.76224785168	85.0440913125033	358.439806975167	1117.4809059692	26.920865199175	2874.30384382512	469.905867567867	24.1224605981117	1.87724554205999	17.9824796015546	63.5905911314144	2.03895092780431	4199.30512803295	1991.78989896519	5115.32703664912	5021.91389698981	262.435345506701	757.769931504141	1535.39107961248	86.4818228458722	3129.5834204193	2719.80614347956	168.540821037217	5.38191834128185	68.0947991269437	362.663478190772	23.5720416886486	1	0	3	1	24.3222780969504
2	23188	1156.77616720679	1133.59809918082	7854.39109000216	1047.75581164779	266.782129635498	61.9006562985483	334.039049232574	122.802533821634	1703.48103784099	3352.022875716	39.4177432732608	6.22359380334732	325.055329165189	214.489147496548	12.742759567212	4494.69550307587	2379.45684942384	10585.206688945	4040.81495439979	363.473504736561	283.611143256509	689.726564936155	204.816180774421	1895.73378838273	10907.6058466746	158.944896915344	16.2020695859555	1582.93220150924	909.030790098337	106.408214249517	1	0	3	2	30.4582578697232
3	23034	939.877114699235	622.535350276718	9375.70883390294	865.823636125852	348.354173450774	9.50183697374673	60.0709023093609	266.624942441209	716.80661748075	5119.10625576191	177.421833058924	8.19332574120594	211.770684562828	85.7491521281975	133.24479656683	2758.80048093943	1049.72285495383	11983.7749982728	1649.9044741478	402.455713339667	112.233692140408	477.253847205664	298.117811703784	711.271548201633	14999.7809457745	351.89688643341	26.5361426189426	753.625889174503	785.895036647756	336.516420733107	1	0	3	3	27.7960951547786
4	4081	812.838848600007	200.433577022211	3371.14096979024	348.365327614414	484.668952175802	1.924960674163	20.2895525253066	631.215336617439	388.041205386033	5094.40992185359	531.142108888559	10.132864958906	80.4855834107797	56.0099298383045	1141.57110409049	1872.36555129636	336.563623791784	5303.53648623897	799.484820039009	404.752117456066	18.6683860484729	196.795110864549	702.409224181079	463.321176032244	10252.2510414465	672.706742284372	14.4229259262328	307.169229222944	350.377303508606	922.06640110245	1	0	3	4	2.86048847065321
5	4180	532.172883637182	142.336471823803	1406.30343067065	35.0863079583481	324.642551778249	0.819193069533266	24.212543436901	645.43658123066	278.725077978589	5522.93419907573	831.143772386111	8.6658768482552	62.8153253900609	129.083125752461	1910.41052777005	1292.46474426711	375.070307479762	1875.18058938578	141.68194218312	379.115486573978	6.78783177003314	203.273463022137	656.648464220187	419.586854275445	11264.7856566985	1148.34045682628	12.4702367165281	296.525787203903	1252.56802297537	1311.21372474849	1	0	3	5	4.48611345478784
1	3135	389.630030756712	196.310779498248	1582.0539838858	430.532283090841	163.825502522185	1.77103323012104	67.629484277274	173.28919570437	544.001128676793	55.2358981310248	17.0618650940731	4.03026785541068	7.63926559167835	6.73459087512732	66.5007470181434	428.255977920635	165.223380135901	1927.41885929514	798.781457106359	304.793153006589	1.62211731989236	209.687666596528	478.32525272486	408.644391202598	217.551860459089	113.290211280715	3.70812285848287	11.3911442924228	9.51233500197736	665.985695041916	1	0	4	1	3.68994080132535
2	17556	265.170523087593	107.227424343499	3114.2708034826	395.461764114905	258.653494454315	0.292183479374431	24.4649644167262	468.524326214407	490.305076286777	420.131394889192	92.7385290818699	30.8345684211565	98.0073858154778	9.03246411397115	163.210811075692	418.781175729447	104.166742341635	2720.5588237617	583.144495828854	605.312188206027	0.611546031957435	63.4878057779285	1242.01199711215	422.632454169136	1555.71898490986	907.853411866397	96.8094544111288	274.617750904679	13.5047276949059	566.209795551266	1	0	4	2	20.0601321814418
3	2937	394.900715074695	66.1177297839675	3474.32478701474	171.849969625294	597.79643824333	0.026760670270112	0.868582229228629	1266.69718446407	505.161972743539	3283.17998146409	493.411805542513	106.472082140061	148.363380433376	9.14233610389064	1019.75319296357	440.607464690952	78.4792731128398	3319.51532101801	315.214957245587	946.668790993271	0.142639541229254	5.1772410798802	1984.09234022129	519.450641557492	6572.35403628587	1462.794223533	236.117026740028	422.006262183142	23.2629835499528	1161.35176645664	1	0	4	3	3.843446110826
4	1749	405.996298850223	36.4690576083559	2175.20831835284	76.6654766240967	402.562697215035	0.0021363465197462	0.0335528156831737	1212.97433866388	288.545672339177	3268.41230159421	294.698067893082	78.6240846658167	52.9979232484204	4.40965305787939	1495.28274743228	506.562262546801	50.5830853214792	2469.85810364794	170.608280947443	427.892909661789	0.00603108658904215	0.187601090515601	1265.79336339003	369.965900529436	7924.2484740321	261.52051935174	222.590736840077	207.200924746353	18.5799566112709	1339.74973974212	1	0	4	4	2.14645402714758
5	2024	343.481422982493	46.804569736656	1561.33955654618	9.81587477717195	225.787077751285	0.00316572399851622	0.0798743522428586	808.518521150691	434.723939609535	6051.72653364972	325.634379680858	130.847482447016	79.3192640021212	9.02875837910094	1660.79242291142	553.823348769953	81.5751622398797	1627.15673665127	28.5645097563466	336.949971016095	0.00898681590225644	0.319128374146439	667.572388141931	546.199513812453	8773.33111030665	279.405733406754	259.644761615276	245.845990703112	27.9513827988177	1514.32663664029	1	0	4	5	2.90691610338408
