STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	8415	81.2288718351979	654.559607281542	1	0	1	1	8.06906106418738
2	2893	257.396506874014	1266.48011456846	1	0	1	2	5.36743123305184
3	14960	602.633341207824	3098.08249471049	1	0	1	3	67.8960097509188
4	19437	220.323131728115	1262.37388055781	1	0	1	4	35.9448698077909
5	3003	274.787007460931	2111.46259255054	1	0	1	5	9.28877416390362
1	8459	4.67150821303378	13.2242057306461	1	0	2	1	2
2	5247	30.1922324273621	83.7114966402609	1	0	2	2	7.04795075541471
3	8096	67.2719880231768	294.774609478698	1	0	2	3	38.2936939837495
4	14729	39.0045931099301	208.179904109752	1	0	2	4	49.2015468219032
5	15400	12.9491272991585	65.3978303314272	1	0	2	5	16.1603495828909
1	5390	3.36956109476048	19.3125583152139	1	0	3	1	4.67655051997317
2	12639	12.9178372550682	67.3055685473281	1	0	3	2	38.2173674544568
3	12375	27.6422507958969	117.800029593182	1	0	3	3	65.4919111768913
4	15543	14.7752202589236	58.2052580801084	1	0	3	4	40.643782929015
5	29513	7.4123878375634	27.7965406972651	1	0	3	5	36.8554031166452
1	2849	2.56714228683346	6.97347964872258	1	0	4	1	8.27330462856059
2	8855	5.95689514926474	9.90070669121259	1	0	4	2	36.5083149820535
3	11902	3.33320292500493	5.73278707195733	1	0	4	3	28.413372564182
4	2299	0.998372039960801	2.7829123024057	1	0	4	4	2.66425335006863
5	1496	2.12569179831451	5.46576013558073	1	0	4	5	3.40501626606585
1	1980	0.862259272629454	0.913674342433328	1	0	5	1	4.98063222212019
2	15015	1.28415763283496	1.21400824730797	1	0	5	2	50.1851039388225
3	7832	0.767188208427654	0.770521158743333	1	0	5	3	16.6144168354796
4	4774	0.414967063956545	0.470508210535453	1	0	5	4	6.18411383619446
5	6314	0.17045630652652	0.286499292015607	1	0	5	5	4.98030551219794
