STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	6501	4.53352247119168	77.1219160860235	1	0	1	1	3.28307300003101
2	18810	13.2867988880647	151.787777020588	1	0	1	2	18.6959767201177
3	7447	4.76474451239208	16.165642259774	1	0	1	3	2
4	11462	32.8509227082232	125.870689914939	1	0	1	4	9.44729722724223
5	4488	394.466145439602	526.059550669044	1	0	1	5	15.460029573459
1	29172	11.4690220436465	45.1588456478654	1	0	2	1	9.89657563495436
2	4202	47.0311105256952	67.8433151777113	1	0	2	2	2.14160326860204
3	9988	87.6875037505622	129.977433866796	1	0	2	3	9.7526447176452
4	6292	165.292163694687	205.735727026102	1	0	2	4	9.7246580898674
5	2277	457.976481188215	500.831082920377	1	0	2	5	8.56702859367585
1	45221	32.4531029011987	162.657962655354	1	0	3	1	24.5552685406516
2	11066	93.5901288042362	208.28134902274	1	0	3	2	7.69432002250398
3	8712	220.451954033087	365.277280979553	1	0	3	3	10.6235514590067
4	6721	513.779555485397	647.105518662309	1	0	3	4	14.5190498631905
5	3740	874.76522914919	1195.77843776701	1	0	3	5	14.929715019534
1	14817	39.6685670221835	136.583730581784	1	0	4	1	2.67711927162518
2	121	2843.32980030372	8930.86700683954	1	0	4	2	2
3	5489	130.098631943608	813.308737961063	1	0	4	3	5.90550631036067
4	2277	542.793551661237	1629.25353248232	1	0	4	4	4.90749844626708
5	4697	303.045256643198	328.317885603883	1	0	4	5	2.03996901625589
1	24486	48.8524997212456	190.763969324836	1	0	5	1	10.6417076789654
2	7975	197.278117640795	557.038097313857	1	0	5	2	10.1207505279779
3	704	1017.40230780157	1997.03575994219	1	0	5	3	3.20299034937499
4	1507	612.584129831202	800.434828771411	1	0	5	4	2.74812421685614
5	1243	757.333925350428	2063.86155256807	1	0	5	5	5.84451959040589
