STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	24244	3.43723581320579	9.21123942992194	1	0	1	1	3.52949384954404
2	11693	6.9682993513117	14.5331777561145	1	0	1	2	2.68581823494196
3	7304	25.2387611152095	31.5341449634576	1	0	1	3	3.64025583946864
4	3663	38.5378772558868	69.458760499468	1	0	1	4	4.02118478457441
5	1804	102.262503467587	138.795133778992	1	0	1	5	3.95731713880796
1	11726	27.6798074270875	74.9173381277719	1	0	2	1	3.72880325035035
2	18095	56.3115123162562	119.687982392904	1	0	2	2	9.1927695687721
3	7304	177.788402870758	204.505032541115	1	0	2	3	6.3401860869975
4	12903	265.45025922257	274.787538851651	1	0	2	4	15.0496005203927
5	1903	420.916624987264	311.793660380567	1	0	2	5	2.51850785271364
1	22737	27.6051317047408	84.8141979506625	1	0	3	1	4.40516183090038
2	12606	91.7777219807613	147.909294691463	1	0	3	2	4.25924787289855
3	33440	251.344384362877	297.432079930692	1	0	3	3	22.7203084556149
4	3498	827.579770516046	907.020154055389	1	0	3	4	7.24764459623738
5	3179	548.342143060708	396.287811698252	1	0	3	5	2.87780517669703
1	9306	220.792940407509	615.608580255083	1	0	4	1	4.63698613510821
2	8833	563.780121868826	1322.56236833067	1	0	4	2	9.45567369003044
3	3498	808.192633938	1985.94528238448	1	0	4	3	5.62283278494895
4	2354	1364.36766962665	1797.69388420341	1	0	4	4	3.42523429918567
5	3410	930.659732475235	831.903991767788	1	0	4	5	2.29612576573156
1	11077	149.65149574765	474.137644570056	1	0	5	1	7.82554031559271
2	5258	106.837621677689	247.790290184288	1	0	5	2	2
3	12562	264.041653139681	524.761580948412	1	0	5	3	9.8221951928341
4	2772	538.640015646946	711.725744606212	1	0	5	4	2.93963656649863
5	4246	1087.47177415006	1046.91219353275	1	0	5	5	6.62335430558016
