STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	14509	1878.55092936671	2817.62577183841	1	0	1	1	39.9217032343739
2	8448	1662.35561124897	2054.95846107463	1	0	1	2	16.9529477262238
3	12243	1351.82127616026	1716.25916864974	1	0	1	3	20.5191322249217
4	11275	912.179327183272	1677.90173581348	1	0	1	4	18.4744426051371
5	2233	355.69028973006	1017.03639181541	1	0	1	5	2.21775458876227
1	10846	1423.58792786629	2655.70916371244	1	0	2	1	30.9310113543452
2	10703	1331.0527423268	1994.79243945362	1	0	2	2	22.9270008511563
3	4752	846.706821079377	1258.23430723124	1	0	2	3	6.4206938530775
4	17391	503.827405519215	641.667933463315	1	0	2	4	11.9833680938363
5	8239	227.963503509778	340.580894646044	1	0	2	5	3.01327517038956
1	7238	878.647019932903	1055.38870361347	1	0	3	1	8.22598812221119
2	33374	1240.42912658548	2427.94001258081	1	0	3	2	87.2576016589688
3	13772	873.515548736524	1397.78650670399	1	0	3	3	20.7297906285217
4	12441	476.868594348903	739.422145352881	1	0	3	4	9.90614775397427
5	8635	173.32930226815	355.267874362858	1	0	3	5	3.30350780599824
1	3619	192.524302987591	162.000493642571	1	0	4	1	10.0304766378279
2	7359	130.269669890802	117.774841235298	1	0	4	2	14.828184465694
3	2926	109.196811332597	100.45892224371	1	0	4	3	5.02897510921971
4	8184	77.3880217342875	77.9815624408222	1	0	4	4	10.9187821951944
5	5313	45.6183259382455	67.2735023464624	1	0	4	5	6.11505691934709
1	5467	336.158583995953	395.612155816642	1	0	5	1	16.403388132054
2	2937	265.803455372359	348.817281348495	1	0	5	2	7.76992450683131
3	23221	230.878268592941	238.506354924157	1	0	5	3	42.0044916746014
4	2772	93.6811350816677	128.853439794148	1	0	5	4	2.7089694189743
5	1518	163.818482547776	208.089862709894	1	0	5	5	2.39572825524939
