STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	27203	2665.19826944842	4325.09696251501	1	0	1	1	22.062892871499
2	8734	4691.50885327767	5721.41754222761	1	0	1	2	9.3705835514421
3	1859	6965.9772794914	12819.865869073	1	0	1	3	4.469023903805
4	6589	6410.477710465	6844.81085423268	1	0	1	4	8.45728109838043
5	4323	1623.66772830599	1987.09084432983	1	0	1	5	2
1	20647	3074.26455021863	5775.25550552102	1	0	2	1	17.5268686934085
2	13035	7156.05516404048	7043.64623169862	1	0	2	2	13.4953683621244
3	9856	9071.89472160014	9153.31127715123	1	0	2	3	13.2603534134673
4	6215	6418.95652027355	6853.97087298365	1	0	2	4	6.26122859442178
5	2178	707.437987543504	1083.35446594936	1	0	2	5	2
1	22308	3140.01701760017	5212.26518161648	1	0	3	1	12.4707321150433
2	7271	6438.41131190074	9024.90229956866	1	0	3	2	7.03787364036231
3	34232	9539.02173514209	12023.5539633888	1	0	3	3	44.1438230007603
4	4730	5302.53342193906	7816.49058808498	1	0	3	4	3.96531562606144
5	6919	2048.35030084274	2970.92166975507	1	0	3	5	2.20464843050719
1	3256	1587.70491510696	1911.07647164126	1	0	4	1	2.5676476037922
2	2728	2281.79886590436	2505.01551182061	1	0	4	2	2.81986126846646
3	12243	3295.67948893427	2641.77149003005	1	0	4	3	13.3461516514889
4	6116	3308.3151365281	3242.78833977029	1	0	4	4	8.18387592437547
5	3058	1578.02031011445	1622.04326140256	1	0	4	5	2.04678804233594
1	8910	2544.4922076112	3650.30411710939	1	0	5	1	10.2206816433241
2	4708	3743.67707158345	4277.46783958875	1	0	5	2	6.32843488377485
3	11055	3972.97569156981	3625.51459917197	1	0	5	3	12.5950969228787
4	6182	2716.73277624742	3479.22144005996	1	0	5	4	6.7590269847906
5	5060	1905.00978041507	2595.43497155117	1	0	5	5	4.12699343140689
