STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	8789	2107.91510071242	4283.81901500278	1	0	1	1	26.685072165434
2	27148	1169.03274792767	2535.01338749444	1	0	1	2	48.7770915171754
3	1980	1928.29605810686	3743.13408398343	1	0	1	3	5.2528908605885
4	4785	1539.98715895424	2571.65782497591	1	0	1	4	8.72153499104536
5	6006	237.101579437205	769.897954616053	1	0	1	5	3.2773007442213
1	10648	1048.4234473165	2738.57008701038	1	0	2	1	31.4322301991614
2	7887	568.078172638553	1259.8391927537	1	0	2	2	10.7105124290733
3	3608	785.32316664381	3058.54348177363	1	0	2	3	11.8950009691425
4	15983	992.464563054888	1379.5277149902	1	0	2	4	23.7668717844319
5	13805	346.752122541681	518.832713787331	1	0	2	5	7.7205289631376
1	1804	2909.50514992219	10847.2579564348	1	0	3	1	10.1242453015205
2	13343	952.036011145368	2959.24042917114	1	0	3	2	20.4286607120307
3	1793	1172.59490321006	9892.55410315628	1	0	3	3	9.17687638180143
4	26048	997.362433100222	3894.53894139567	1	0	3	4	52.4851680073345
5	32472	684.095917449937	1464.84836711787	1	0	3	5	24.6097877122651
1	2035	457.977527505347	884.225801607488	1	0	4	1	6.1331278771241
2	3069	378.760489197532	536.72233867527	1	0	4	2	5.61436938406441
3	7073	612.181200122537	650.007876049544	1	0	4	3	15.6702779568234
4	10670	215.360088679257	451.052236936389	1	0	4	4	16.4038459960997
5	4554	50.2578093434568	132.576575684269	1	0	4	5	2.05785251852484
1	2552	516.214944965562	978.776748970244	1	0	5	1	9.7324975951383
2	5236	234.262507853375	596.999624031859	1	0	5	2	12.1796185364262
3	11847	82.7001214589844	271.693682799601	1	0	5	3	12.5414548817609
4	7898	43.2333398864012	167.334789835545	1	0	5	4	5.14947984865187
5	8382	12.0203761758613	46.6889291807993	1	0	5	5	2
