STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	8415	33.4952506477522	36.2076881722759	1	0	1	1	10.9082479503023
2	15015	28.4098800938097	33.1740989403453	1	0	1	2	17.8330060348978
3	12243	24.7710428150324	31.074375450594	1	0	1	3	13.6204150735875
4	6743	28.1293794377851	33.5997971565761	1	0	1	4	8.11128945439233
5	6292	15.3442804629859	21.004141266496	1	0	1	5	4.73144426836932
1	2068	13.3440828433265	15.3848277945345	1	0	2	1	3.02656104971092
2	8393	9.59646701109243	11.6809186388262	1	0	2	2	9.32610899535415
3	13200	11.5408587635099	14.687572338841	1	0	2	3	18.4429425974135
4	14828	8.64218635206652	10.4166572046915	1	0	2	4	14.6932278922614
5	13442	4.56476463174195	5.61228741220544	1	0	2	5	7.176456545661
1	18480	24.1127592706868	35.9136981727842	1	0	3	1	26.6598813182709
2	12639	21.7992042404816	30.5799586931	1	0	3	2	15.5255046171993
3	18964	13.9243022315021	23.3037311724892	1	0	3	3	17.7521731316666
4	8734	10.9229392296019	19.4416286096684	1	0	3	4	6.82090414900452
5	16643	6.49874129901173	12.8106468207217	1	0	3	5	8.56443638428803
1	3025	3.09621323570628	2.90901279618226	1	0	4	1	4.28276456220251
2	12210	2.63474872387811	2.49804126984917	1	0	4	2	14.844598739716
3	3421	2.22948526348739	2.13753870890672	1	0	4	3	3.55893660613738
4	3828	2.02726791240741	1.95736010413017	1	0	4	4	3.64666485064382
5	4917	1.71893724630166	1.82514044965032	1	0	4	5	4.36766869881842
1	5291	1.99524707660959	2.25566261795613	1	0	5	1	8.13151040741112
2	14344	1.60575044393064	1.66733050113306	1	0	5	2	16.2948846291307
3	9207	1.36848015695523	1.46016798636105	1	0	5	3	9.15967963048236
4	2211	1.28791360988602	1.70495823354064	1	0	5	4	2.56839493922028
5	4862	1.00569294516673	1.07484165125651	1	0	5	5	3.56056370399013
