STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	20218	48.5333432372445	101.63154547347	1	0	1	1	11.3637569212434
2	12991	154.638404025894	220.162714106846	1	0	1	2	15.8176356105783
3	4180	343.946198638867	466.86236392063	1	0	1	3	10.7924578150935
4	3905	637.129450639098	921.098862664969	1	0	1	4	19.8921853657217
5	7414	476.579556963075	420.498733194436	1	0	1	5	17.2413983788388
1	7689	34.3264828592424	103.263301385984	1	0	2	1	2.93862753114868
2	12606	190.366376184564	410.916983741201	1	0	2	2	19.1716755643961
3	9042	442.152761865654	649.845713819112	1	0	2	3	21.7472044853665
4	16995	785.421825753449	976.599058363457	1	0	2	4	61.4279676241683
5	5599	174.054253103556	203.979539273517	1	0	2	5	4.22693676266415
1	19492	80.8192118284029	252.810843750623	1	0	3	1	40.8426581349603
2	17919	210.374131612823	310.70290719436	1	0	3	2	46.1446105282136
3	20108	391.888729856295	453.221127919363	1	0	3	3	75.5337283892042
4	11682	300.159755389065	321.187483903938	1	0	3	4	31.098376245732
5	6259	414.995499799192	410.507495392758	1	0	3	5	21.2955048953038
1	3025	162.85342561467	306.744563725174	1	0	4	1	4.6887729063065
2	5258	177.397043318704	493.744727111122	1	0	4	2	13.1183736761826
3	12056	282.570584583065	612.637373741044	1	0	4	3	37.3218937134205
4	3509	605.837577590061	973.444517679988	1	0	4	4	17.2604262674803
5	3553	285.217210023721	335.115865938957	1	0	4	5	6.01654462858734
1	4081	376.744857683931	630.418893582929	1	0	5	1	20.0797509162689
2	19415	244.763953108091	355.731838919724	1	0	5	2	53.9042041316391
3	7557	341.16794993259	359.331837332726	1	0	5	3	21.1937411737989
4	3201	520.768593497378	433.849706348042	1	0	5	4	10.8389568653905
5	1661	261.385455431081	238.44966550039	1	0	5	5	3.09121246500439
