STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	16896	39.1301857003478	83.6434213057796	1	0	1	1	5.20459238938125
2	10307	116.37601073396	174.20828185907	1	0	1	2	6.61259777089501
3	8470	223.341615567278	302.625843405649	1	0	1	3	9.43974920124615
4	5621	562.801211749565	835.685128765926	1	0	1	4	17.2992506784387
5	7414	476.579556963075	420.498733194436	1	0	1	5	11.4812270695971
1	10846	63.7287737671846	161.276746510416	1	0	2	1	4.33210828415195
2	8129	196.597090872396	452.634941533495	1	0	2	2	9.1126176836074
3	11979	447.581351635308	682.335702953625	1	0	2	3	20.2430809067837
4	15290	807.468536696675	980.529408283928	1	0	2	4	37.1300948703524
5	5687	173.606973829991	203.004762323441	1	0	2	5	2.85921888904378
1	23804	92.4136871810705	265.180217654974	1	0	3	1	34.7329642126368
2	13200	230.347654981775	309.448824445042	1	0	3	2	22.4757168881651
3	17754	402.710129054504	463.061555826453	1	0	3	3	45.2361594980654
4	12342	289.908802412249	319.130918324748	1	0	3	4	21.6723102163023
5	8360	402.0178577697	399.102179428085	1	0	3	5	18.3586677158328
1	3795	156.471599753446	287.378123356891	1	0	4	1	3.68720692811725
2	5698	194.334600989128	487.697623371856	1	0	4	2	9.39518012000473
3	8866	283.785003225034	646.404053488023	1	0	4	3	19.3759865628037
4	5599	497.637951174746	862.324802437975	1	0	4	4	16.3235033078154
5	3443	281.114155168288	333.675024939159	1	0	4	5	3.88412100001078
1	2376	408.005820289919	699.512154392687	1	0	5	1	8.66602286960467
2	2849	303.040457420855	479.261858129679	1	0	5	2	7.11940084761363
3	23265	260.738640748334	351.556371969745	1	0	5	3	42.6457896390732
4	5610	459.851810575685	420.362037764083	1	0	5	4	12.2960176937242
5	1815	270.136856285393	250.391762509707	1	0	5	5	2.36959866255362
