STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	11935	512.655801488822	565.3029048002	1	0	1	1	30.60668653411
2	14333	230.381249238159	369.349823252931	1	0	1	2	24.0152809427547
3	5192	160.724398351293	338.396727057354	1	0	1	3	7.97027879367508
4	12529	102.599268212138	256.402221657544	1	0	1	4	14.5730638712189
5	4719	28.3108224707508	88.5774653959092	1	0	1	5	2
1	6721	164.098889306554	264.762486725144	1	0	2	1	21.1607900337529
2	5005	102.394301418449	173.864244341187	1	0	2	2	10.347987376659
3	15290	39.586830756759	101.674641551659	1	0	2	3	18.4867967520443
4	21197	9.11311357671512	30.0179898190075	1	0	2	4	7.5665435647808
5	3718	11.3858164829576	81.0694636970363	1	0	2	5	3.58433189294893
1	2574	266.989625006859	506.382282456	1	0	3	1	9.70706219818376
2	6215	205.052664737349	382.827703994508	1	0	3	2	17.7192468957255
3	20460	113.388143806329	265.375218463121	1	0	3	3	40.4358672329368
4	13376	35.868747549543	120.057248154093	1	0	3	4	11.9595657991316
5	32835	8.48648361578354	43.4743622933965	1	0	3	5	10.630923884927
1	9009	0.121918796866757	0.0507502296476368	1	0	4	1	10.1735020699956
2	2761	0.0898267535210123	0.0388839663032848	1	0	4	2	2.38887180037253
3	3047	0.0639918135067792	0.0348236782558292	1	0	4	3	2.36103798899882
4	6446	0.0347032450881386	0.0236224013180997	1	0	4	4	3.38820924914922
5	6138	0.00940885261305153	0.0147296705099886	1	0	4	5	2.01175827006212
1	2761	1.33706384073087	3.57032437535604	1	0	5	1	10.7764967285614
2	3619	0.924140942802475	2.35653064220897	1	0	5	2	9.32320415398554
3	3267	0.24130617380702	0.588513886660629	1	0	5	3	2.10188702499724
4	8217	0.441471530609217	1.37987506594342	1	0	5	4	12.3952866304695
5	18051	0.116574099562548	0.422397567608255	1	0	5	5	8.33539518342007
