STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	7436	0.248791965846244	0.225710470938847	1	0	1	1	11.3167937102936
2	36553	0.273407007771099	0.332419814871139	1	0	1	2	81.9298653467579
3	341	0.578162313183143	0.740025667072107	1	0	1	3	2
4	3476	0.240962720486055	0.293953918557232	1	0	1	4	6.88955756298232
5	902	0.327112130121109	0.475584704416038	1	0	1	5	2.89245577525012
1	11451	1.42704910448364	1.90712156395961	1	0	2	1	3.12770649293339
2	4279	3.42722258120649	12.2757383566144	1	0	2	2	7.52305280322924
3	12617	4.43771101693036	20.0750737817388	1	0	2	3	36.2758379696643
4	3443	2.67085450892781	4.80929650802476	1	0	2	4	2.37149807486097
5	20141	2.12437236684965	1.96506786016902	1	0	2	5	5.668429926885
1	5830	1.1719317307659	2.99052816068126	1	0	3	1	2
2	26488	3.05414793582612	7.24006811275309	1	0	3	2	20.2040910916806
3	20152	7.58797510700778	22.0706050739805	1	0	3	3	46.8575839957198
4	12529	9.07600141975694	29.5689945892438	1	0	3	4	39.0301720083884
5	10461	9.14210844418955	14.2745701865924	1	0	3	5	15.7319928594851
1	15235	7.02253870658778	12.6271591743487	1	0	4	1	2
2	2552	39.5577865022429	78.6041891666457	1	0	4	2	2
3	7524	104.053180806446	218.198225719111	1	0	4	3	16.0338300387681
4	682	190.112121785988	328.178067707751	1	0	4	4	2.18590459124407
5	1408	105.491092992073	223.817965774676	1	0	4	5	3.07776086455714
1	22011	172.464791488193	499.983187175495	1	0	5	1	5.72735027158673
2	2816	669.861005154553	1302.43696440031	1	0	5	2	2
3	3399	1430.85367608925	2408.56023414748	1	0	5	3	4.26056549951888
4	2365	2345.01379780617	7313.13596286245	1	0	5	4	9.00105390790885
5	5324	1105.97552512179	4331.16496916046	1	0	5	5	12.0005552999682
