STRATO	N	M1	S1	COST	CENS	DOM1	X1	SOLUZ
1	9119	2056.78061930844	1894.20159166957	1	0	1	1	21.8434689002201
2	7304	1464.71192142972	1277.08900679241	1	0	1	2	11.7958740491435
3	3795	1130.76026337922	873.811996250327	1	0	1	3	4.19351285444547
4	10274	720.654316933805	669.411962922384	1	0	1	4	8.69723542950186
5	18216	207.132586402499	449.794299784407	1	0	1	5	10.3613217640057
1	4719	1130.91351828919	1106.03444108028	1	0	2	1	11.4412431876778
2	10175	826.899163379141	961.107034486305	1	0	2	2	21.4368398026501
3	2420	587.545989275508	480.199288085029	1	0	2	3	2.54736669547394
4	6710	275.101581935638	448.465715913189	1	0	2	4	6.59639048775893
5	27907	41.0322512046364	260.916709027406	1	0	2	5	15.9613504490993
1	6391	728.884837599271	1439.99294215211	1	0	3	1	15.1184595215117
2	9196	1398.80189548043	1779.60614734445	1	0	3	2	26.8844539718822
3	11396	886.572179796246	944.646975295384	1	0	3	3	17.684807600288
4	40216	122.978561095626	525.259806647749	1	0	3	4	34.7017520314876
5	8261	22.2745545844356	200.108933160028	1	0	3	5	2.71567290487158
1	2233	70.3414771764467	230.869171365596	1	0	4	1	7.28546826969157
2	3751	81.8164204737985	121.957792343799	1	0	4	2	6.46486443253457
3	2046	42.5089468226939	71.0470736744082	1	0	4	3	2.05425630148298
4	3894	19.2639435437072	40.3101204640562	1	0	4	4	2.21826203795467
5	15477	1.18522394452814	6.93973064710189	1	0	4	5	2
1	726	560.8780458948	1093.01924279657	1	0	5	1	3.53021469771184
2	2684	348.506372525355	641.818957115378	1	0	5	2	7.66358082687084
3	5797	165.923986164082	335.802124486746	1	0	5	3	8.66011043020741
4	11022	48.3020069996191	166.546566878367	1	0	5	4	8.16644011399515
5	15686	4.60050995203715	37.5908517572692	1	0	5	5	2.62319796789804
